Model,Seed,Accuracy (in-domain),Accuracy (cross-domain),Accuracy abs. drop,Accuracy rel. drop %,Macro-F1 (in-domain),Macro-F1 (cross-domain),Macro-F1 abs. drop,Macro-F1 rel. drop %
ResNet-50,42,0.9925296479596601,0.2778062532034854,0.7147233947561747,72.01028162991697,0.9899461517027316,0.24140957733314183,0.7485365743695898,75.61386779291868
ResNet-50,1337,0.9941170977682323,0.23680164018452077,0.7573154575837115,76.17970350614284,0.992546774556126,0.22177014236412637,0.7707766321919997,77.65645428012161
EfficientNet-B0,42,0.9968251003828555,0.274218349564326,0.7226067508185295,72.4908261781324,0.9955971771751301,0.23586194001340768,0.7597352371617224,76.30950092861518
EfficientNet-B0,1337,0.9958913063778131,0.25422860071758074,0.7416627056602323,74.47225424205746,0.9944305638858244,0.23117505989948717,0.7632555039863372,76.7530214481592
MobileNetV3-Small,42,0.9949575123727705,0.24192721681189133,0.7530302955608792,75.68466856087711,0.9927489831012454,0.19821544460280008,0.7945335384984453,80.03367941172849
MobileNetV3-Small,1337,0.9950508917732748,0.2106611993849308,0.784389692388344,78.82910300100204,0.9930553846313216,0.17637750095616886,0.8166778836751527,82.23890593759278
