Model,Dataset,Seed,N,Accuracy,Macro-F1,Weighted-F1,Balanced Acc.,Macro Prec.,Macro Rec.
ResNet-50,PlantVillage → PlantDoc Core,42,1951,0.2778062532034854,0.24140957733314183,0.2662661913561044,0.259025554414784,0.3482538286112089,0.259025554414784
EfficientNet-B0,PlantVillage → PlantDoc Core,42,1951,0.274218349564326,0.23586194001340768,0.2618217474879558,0.2602413008952143,0.32852176458351157,0.2602413008952143
EfficientNet-B0,PlantVillage → PlantDoc Core,1337,1951,0.25422860071758074,0.23117505989948717,0.24839936334230692,0.24121960736327508,0.3751148165886913,0.24121960736327508
MobileNetV3-Small,PlantVillage → PlantDoc Core,42,1951,0.24192721681189133,0.19821544460280008,0.21782688199931496,0.22844892378529316,0.3203558845786175,0.22844892378529316
MobileNetV3-Small,PlantVillage → PlantDoc Core,1337,1951,0.2106611993849308,0.17637750095616886,0.18583686833688112,0.21218278185130757,0.32613418507642944,0.21218278185130757
