Setting,Comparison,Seeds,Mean margin,Pooled seed SD,|Margin| / seed SD,Sign consistent
PlantVillage in-domain,ResNet-50 - EfficientNet-B0,3,-0.0023 ± 0.0032,0.0021,1.11,2/3
PlantVillage in-domain,ResNet-50 - MobileNetV3-Small,3,0.0000 ± 0.0031,0.0021,0.02,2/3
PlantVillage in-domain,EfficientNet-B0 - MobileNetV3-Small,3,0.0023 ± 0.0008,0.0005,4.73,3/3
PlantVillage → PlantDoc Core,ResNet-50 - EfficientNet-B0,3,-0.0009 ± 0.0077,0.0089,0.10,2/3
PlantVillage → PlantDoc Core,ResNet-50 - MobileNetV3-Small,3,0.0422 ± 0.0038,0.0108,3.90,3/3
PlantVillage → PlantDoc Core,EfficientNet-B0 - MobileNetV3-Small,3,0.0431 ± 0.0102,0.0090,4.78,3/3
PlantDoc Core in-domain,ResNet-50 - EfficientNet-B0,3,0.0054 ± 0.0383,0.0290,0.19,2/3
PlantDoc Core in-domain,ResNet-50 - MobileNetV3-Small,3,0.0947 ± 0.0352,0.0276,3.43,3/3
PlantDoc Core in-domain,EfficientNet-B0 - MobileNetV3-Small,3,0.0893 ± 0.0185,0.0108,8.30,3/3
