Model,Seeds,Accuracy (in-domain),Accuracy (cross-domain),Accuracy abs. drop,Accuracy rel. drop %,Macro-F1 (in-domain),Macro-F1 (cross-domain),Macro-F1 abs. drop,Macro-F1 rel. drop %
ResNet-50,3,0.9945 ± 0.0021,0.2583 ± 0.0206,0.7361 ± 0.0213,74.02 ± 2.09,0.9927 ± 0.0029,0.2291 ± 0.0107,0.7636 ± 0.0131,76.92 ± 1.13
EfficientNet-B0,3,0.9964 ± 0.0005,0.2653 ± 0.0102,0.7310 ± 0.0097,73.37 ± 1.01,0.9950 ± 0.0006,0.2300 ± 0.0065,0.7650 ± 0.0064,76.89 ± 0.65
MobileNetV3-Small,3,0.9948 ± 0.0004,0.2238 ± 0.0162,0.7710 ± 0.0162,77.50 ± 1.63,0.9927 ± 0.0004,0.1869 ± 0.0109,0.8058 ± 0.0111,81.17 ± 1.10
