Model,Dataset,Seeds,N,Accuracy,Macro-F1,Weighted-F1,Balanced Acc.,Macro Prec.,Macro Rec.,Shared classes,Retained prob. mass
ResNet-50,PlantVillage → PlantDoc Core,2,1951,0.2573 ± 0.0290,0.2316 ± 0.0139,0.2527 ± 0.0192,0.2404 ± 0.0263,0.3667 ± 0.0262,0.2404 ± 0.0263,21,0.6853 ± 0.0606
EfficientNet-B0,PlantVillage → PlantDoc Core,2,1951,0.2642 ± 0.0141,0.2335 ± 0.0033,0.2551 ± 0.0095,0.2507 ± 0.0135,0.3518 ± 0.0329,0.2507 ± 0.0135,21,0.6547 ± 0.0038
MobileNetV3-Small,PlantVillage → PlantDoc Core,2,1951,0.2263 ± 0.0221,0.1873 ± 0.0154,0.2018 ± 0.0226,0.2203 ± 0.0115,0.3232 ± 0.0041,0.2203 ± 0.0115,21,0.5891 ± 0.0376
