Model,Dataset,Seeds,Params (M),Epochs,Train time (min),s / epoch,Latency b1 (ms),Throughput (img/s),Peak mem (MB)
ResNet-50,PlantVillage,3,23.59,12.0 ± 2.6,143.9 ± 35.1,718.7 ± 53.1,8.82 ± 0.36,216.5 ± 5.7,9472.5 ± 18.5
EfficientNet-B0,PlantVillage,3,4.06,13.0 ± 1.7,127.8 ± 16.1,590.4 ± 21.2,9.26 ± 0.22,271.7 ± 5.7,9241.6 ± 6.9
MobileNetV3-Small,PlantVillage,3,1.56,13.0 ± 3.5,30.4 ± 7.1,141.2 ± 7.1,6.42 ± 0.31,1286.8 ± 22.8,2150.0 ± 9.2
ResNet-50,PlantDoc Core,3,23.57,10.7 ± 2.1,11.3 ± 2.2,63.9 ± 7.6,8.58 ± 0.21,209.9 ± 5.7,11849.1 ± 591.2
EfficientNet-B0,PlantDoc Core,3,4.04,9.3 ± 0.6,10.6 ± 1.9,67.8 ± 11.4,9.75 ± 0.17,192.6 ± 131.2,11829.6 ± 339.5
MobileNetV3-Small,PlantDoc Core,3,1.55,13.0 ± 2.0,2.7 ± 0.4,12.6 ± 0.3,6.28 ± 0.23,1268.4 ± 5.1,2150.7 ± 5.3
